"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Barbados","BRB","Imports of goods and services (BoP, current US$)","BM.GSR.GNFS.CD","","","","","","","","88933263.1508634","100863286.066568","118233153.316283","140939559.63133","148745242.109261","168601302.387388","194308913.816142","225166618.924314","245653656.150421","271908477.575","310747053.45","363744795.05","471245441.635","597212207.5","656453805","646251345","703564542.5","741219210","694108882.5","697309072.96718","647735365.172065","692912672.37434","810484951.35513","829063216.78672","808654656.481175","645570488.297495","734165338.081485","786820235.56455","971739808.746445","1049083344.93346","1219695015.51375","1268070765.98172","1352544028.39325","1456567490.1806","1355697481.80908","1378265254.52749","1568788724.65202","1752699051.41916","2021623134.79097","2109569941.48846","2253711148.17555","2446171001.998","1976126368.75802","2154021671.91327","2232917294.07122","2207997628.36363","2406259428.38302","2311759360.73238","2243125872.34457","2238221678.59268","2212869159.9952","","","","","",
"Brunei Darussalam","BRN","Imports of goods and services (BoP, current US$)","BM.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2136671521.87425","2356572263.9387","2291723481.83411","2413285550.29761","2521930492.61065","2801883155.19973","3308625079.98767","4260183204.51491","3716618335.43373","3837233033.62611","5574691975.78068","6755524681.93203","7770945990.59223","5854763563.27696","4869795669.44914","4302942619.468","4320510018.7501","5681696874.53474","6805793041.86536","6382221489.69155","9218790483.28038","10106440761.3996",
"Bhutan","BTN","Imports of goods and services (BoP, current US$)","BM.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","499404590.820777","586338985.143587","765638698.332455","682167104.087823","935242365.263855","1304563282.31485","1207864101.80282","1100836334.08712","1118360105.74213","1203680778.21719","1237308411.57471","1234918506.57475","1248481206.68373","1229725205.66465","1188476132.67","1026515610.03611","1588399289.78769",
"Botswana","BWA","Imports of goods and services (BoP, current US$)","BM.GSR.GNFS.CD","","","","","","","","","","","","","","","","257198133.121486","258635064.956197","316285934.895875","396905418.171803","597173029.992196","818424524.196242","898847310.96601","761415774.256908","824668335.085454","773660375.281652","624261961.99313","763379428.557538","1007301726.43567","1225700164.74465","1413032913.77551","1986867984.22797","1986488959.82798","1916695303.89032","1781001413.49319","1676236210.70268","2049666811.75766","1811342289.21474","2365138797.45697","2505543697.4074","2391512706.44524","2320508163.56863","2066467209.72367","2080670428.7304","2711919994.61243","3613018155.0261","3444555088.67934","3364319179.80207","4731358312.48811","5734926832.58233","5440773977.47835","6633895052.89407","8269309875.37484","8867435077.75324","9191467356.10984","9005845771.42245","8092740290.98761","6915891942.68758","6281640519.8997","7362391277.44977","7695776473.43766","7553975272.28473","9252271323.57909","8699535095.93324",
"Central African Republic","CAF","Imports of goods and services (BoP, current US$)","BM.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","174129170.3757","205618413.596235","246232583.34443","327433479.610518","236649086.428779","256105899.716675","241183919.088659","226436641.769879","275793934.252125","342645039.492745","352090271.99374","330121161.676737","330442813.460398","410141174.843018","315313086.005567","341725734.395655","290031260.998577","244414359.355766","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Canada","CAN","Imports of goods and services (BoP, current US$)","BM.GSR.GNFS.CD","7442191276.02544","7390270291.09004","7499183709.57201","7750250537.91402","8795312468.12608","10028870409.1087","11621614975.8527","12433419818.4673","14099978755.388","16395012085.2084","16995691697.7148","19217530465.1487","22947353026.4768","27934333440.0059","38252085354.9884","41168572853.1406","46229313120.0573","48396019987.5467","52745066384.8807","62610818075.9584","70258718264.1512","78612443257.2043","66973607692.6523","73940759206.0798","87033586277.7547","92150888724.7161","98346123517.958","107138758931.981","128315996765.89","141220357226.364","147835857172.559","151776826013.392","157260401611.404","168036048307.771","182738245529.385","199262280419.918","208635581652.769","236526666238.222","240939009661.635","259152086167.962","286623518254.321","267931060237.432","270498801710.964","295069917977.13","336879528994.442","385175466962.962","429675753357.305","471043058532.012","507575472096.322","412436230446.126","500163006070.577","568459622007.853","589479800293.393","589064606422.439","589626505395.032","534721035459.451","517857545753.834","555101866455.117","591388920187.493","589666321023.626","526936282938.063","619638791380.236","719339144628.929",
"Central Europe and the Baltics","CEB","Imports of goods and services (BoP, current US$)","BM.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90510943829.2337","97643401489.5975","134155924098.328","151983568723.777","160242962521.986","176061905110.674","172715473834.177","189641239363.537","204892518507.783","225119756688.684","287389875485.746","389295929579.212","446859347617.737","549690539092.94","710510067437.764","852432720674.279","615775107479.994","698380209004.366","830778648528.851","789126059606.239","822821217142.738","864822156381.878","757277589740.6","774173096259.916","885886181450.67","1009324943293.41","1000595089777.35","935916544759.276","1195083239239.93","1366713054467.9",
"Switzerland","CHE","Imports of goods and services (BoP, current US$)","BM.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","25233441929.1189","34529646258.8684","42964376320.8575","51842870697.5162","47184287988.8212","44025007082.0653","44612520216.2288","43036011954.0299","44228926082.3116","60841617645.8833","69803233431.8748","77584910818.0141","79941623240.6742","96388508629.3261","89939016382.0104","92038837022.7006","85380060232.1304","92047371759.3684","108916159195.13","109366105452.221","106401688127.126","107933689876.174","105826949968.297","129445501978.396","131021297343.137","133118128857.753","153963511903.502","178492536863.702","202462796202.618","219480434203.721","254625153649.726","305101417634.668","287553803307.345","331784430521.492","423771746566.291","402982772394.886","435286875122.949","399558987450.208","370556653933.467","391130511157.529","399471341869.37","414196699914.8","413403751697.281","429874788452.449","481092503795.685","518451295488.751",
"Channel Islands","CHI","Imports of goods and services (BoP, current US$)","BM.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Imports of goods and services (BoP, current US$)","BM.GSR.GNFS.CD","","","","","","","","","","","","","","","","2055000000","1988000000","2885000000","3637000000","5238000000","7052000000","8293000000","5053000000","4081000000","4495000000","4000900000","4604500000","5493100000","6624700000","8590110000","9165510000","9549500000","11821400000","12929100000","13863000000","18301000000","21287349100","23325396406.5845","22766893603.3347","19341290986.2819","21893098891.2191","21410882510.1621","20881247720.4132","22858856965.5523","29191102180.5153","38199183140.3053","44741515439.5359","53930762623.8352","70086728553.8391","50221169301.7424","67820076191.149","86030813929.6276","90833286861.2424","90721783136.1146","83994760333.548","72672748048.6759","69897734608.856","76217898711.98","86996723027.2102","82323665832.4252","68134481174.0282","102594990347.255","118094326203.116",
"China","CHN","Imports of goods and services (BoP, current US$)","BM.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","18900000000","20711000000","26748000000","40755000000","37172000000","38880000000","49972000000","52750000000","46706000000","54297000000","73819000000","98349000000","111570000000","135282400000","154127000000","97709000000","97527000000","119243000000","161165850000","180488000000","210243368881.429","410155077194.32","553600330539.767","648712207879.776","782812463259.899","950020767157.332","1149036249785.65","1042533759652.94","1433387787069.77","1826948709574.79","1943247135628.37","2120215176193.99","2241602783713.84","2002281688027.83","1942185380887.41","2212267456271.44","2563104453717.03","2499154939622.91","2380325378540.96","3093737185280.82","3139497839473.03",
"Cote d'Ivoire","CIV","Imports of goods and services (BoP, current US$)","BM.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7371118516.67803","7601571995.62488","8592168083.58854","9759897658.06345","9725288614.99802","10785918960.7851","9480011911.33186","11986923740.0767","12070085515.4247","12173615245.2847","11350941885.2359","10719663210.286","11848917548.7643","13183079166.8557","12880625262.8795","12660139881.6488","16190824220.8504","",
"Cameroon","CMR","Imports of goods and services (BoP, current US$)","BM.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","1054299619.23127","1415562616.75996","1735507457.55163","2337093141.97863","2092102311.54493","1969621681.52313","1942471724.11913","1820546663.51272","2072060412.86241","2578529533.67134","2487218174.14494","2122121134.40001","2169191212.6137","2475163994.07802","2229509382.29676","1948719221.89253","1746417202.70093","1545430012.95525","1607678114.08197","2283873618.54113","2392251274.673","2323277527.22705","2048932421.5175","2506688403.3624","2926963478.62243","3111853021.60486","3444347068.72792","3971801523.39537","4348302772.24741","4657595041.3769","5993497510.22956","8076458890.96366","6258415393.28393","6377666923.26379","8224862182.01028","8159391405.48597","8845301512.73614","9679872501.75499","7789426386.03788","7076506879.10312","7271200972.12933","8422507281.96614","9085402178.55284","7212457585.3679","9025078466.54498","9758976255.14746",
